日期,股票代码,开盘,收盘,最高,最低,成交量
2020-01-02,601127,11.2748064000,11.3141600000,11.2256144000,11.3043216000,2417792
2020-01-03,601127,11.3141600000,11.3535136000,11.2846448000,11.3141600000,1799900
2020-01-06,601127,11.2846448000,11.3436752000,11.1862608000,11.2256144000,3360840
2020-01-07,601127,11.2649680000,11.3535136000,11.2354528000,11.3436752000,2759589
2020-01-08,601127,11.3141600000,11.4912512000,11.2944832000,11.4125440000,4112394
2020-01-09,601127,11.4223824000,11.5404432000,11.4027056000,11.4420592000,2410981
2020-01-10,601127,11.4223824000,11.4715744000,11.3141600000,11.3338368000,1936642
2020-01-13,601127,11.3633520000,11.5207664000,11.3633520000,11.5109280000,2500113
2020-01-14,601127,11.5207664000,11.5404432000,11.4322208000,11.4420592000,1827700
2020-01-15,601127,11.4223824000,11.4223824000,11.2157760000,11.2157760000,2003800
2020-01-16,601127,11.2452912000,11.3239984000,11.2157760000,11.2157760000,1209600
2020-01-17,601127,11.2649680000,11.2748064000,11.1665840000,11.1665840000,1155475
2020-01-20,601127,11.1272304000,11.2059376000,11.0288464000,11.1665840000,1867503
2020-01-21,601127,11.1665840000,11.2059376000,11.0386848000,11.1469072000,1869955
2020-01-22,601127,11.1469072000,11.1469072000,10.9009472000,10.9403008000,1785800
2020-01-23,601127,10.8222400000,10.9009472000,9.9171072000,10.1040368000,3635100
2020-02-03,601127,9.0906816000,9.0906816000,9.0906816000,9.0906816000,528800
2020-02-04,601127,8.1855488000,8.6774688000,8.1855488000,8.2150640000,6302578
2020-02-05,601127,8.2740944000,8.6381152000,8.2642560000,8.6381152000,4769937
2020-02-06,601127,8.6086000000,9.0316512000,8.5102160000,8.9529440000,3853899
2020-02-07,601127,9.2185808000,9.2480960000,8.9627824000,9.1005200000,3384198
2020-02-10,601127,9.1005200000,9.3268032000,9.0611664000,9.3169648000,2540600
2020-02-11,601127,9.2776112000,9.4251872000,9.1693888000,9.2677728000,1710386
2020-02-12,601127,9.2776112000,9.3759952000,9.2284192000,9.3661568000,1753706
2020-02-13,601127,9.3661568000,9.4350256000,9.1792272000,9.1890656000,1800151
2020-02-14,601127,9.2284192000,9.2677728000,9.0218128000,9.1497120000,2037091
2020-02-17,601127,9.2284192000,9.4448640000,9.1989040000,9.4251872000,3131570
2020-02-18,601127,9.4547024000,9.4547024000,9.2776112000,9.4448640000,3374116
2020-02-19,601127,9.4448640000,9.6022784000,9.2972880000,9.3366416000,3894248
2020-02-20,601127,9.3563184000,9.5924400000,9.2677728000,9.5432480000,3590658
2020-02-21,601127,9.5334096000,9.7793696000,9.4645408000,9.6613088000,3427521
2020-02-24,601127,9.5924400000,9.6317936000,9.4251872000,9.4842176000,3182084
2020-02-25,601127,9.4448640000,9.8285616000,9.1300352000,9.7301776000,6838277
2020-02-26,601127,9.5727632000,9.7793696000,9.3956720000,9.4350256000,4114017
2020-02-27,601127,9.7203392000,10.3795120000,9.7203392000,10.3795120000,9051710
2020-02-28,601127,9.8679152000,10.5172496000,9.7203392000,9.8777536000,10702005
2020-03-02,601127,10.0351680000,10.2220976000,9.8384000000,10.0941984000,7269619
2020-03-03,601127,10.2319360000,10.4090272000,10.1138752000,10.3696736000,7188526
2020-03-04,601127,10.2516128000,10.8025632000,10.2417744000,10.7632096000,8198542
2020-03-05,601127,10.7533712000,11.0583616000,10.4680576000,10.9107856000,8963070
2020-03-06,601127,10.8419168000,11.0091696000,10.7533712000,10.8320784000,5867091
2020-03-09,601127,10.6254720000,10.7828864000,10.0843600000,10.2614512000,7520088
2020-03-10,601127,10.2712896000,10.6451488000,10.2122592000,10.4778960000,5562807
2020-03-11,601127,10.4778960000,10.4877344000,9.7596928000,9.8187232000,8151792
2020-03-12,601127,9.8187232000,9.8187232000,9.8187232000,9.8187232000,0
2020-03-13,601127,8.9332672000,9.7892080000,8.9332672000,9.3759952000,6065392
2020-03-16,601127,9.3759952000,9.5334096000,8.6676304000,8.7561760000,6477516
2020-03-17,601127,8.7364992000,8.9824592000,8.3134480000,8.4905392000,3924482
2020-03-18,601127,8.5987616000,8.7266608000,8.2052256000,8.2347408000,3463258
2020-03-19,601127,8.2347408000,8.3134480000,7.9199120000,8.1166800000,3401207
2020-03-20,601127,8.2642560000,8.2740944000,8.0674880000,8.2150640000,1652900
2020-03-23,601127,7.9789424000,8.0773264000,7.7723360000,7.9789424000,2576764
2020-03-24,601127,8.0674880000,8.3036096000,8.0379728000,8.2740944000,2961504
2020-03-25,601127,8.4413472000,8.6381152000,8.3429632000,8.4216704000,3200178
2020-03-26,601127,8.3528016000,8.4511856000,8.2445792000,8.3036096000,2777749
2020-03-27,601127,8.4216704000,8.4511856000,8.2150640000,8.2249024000,1503300
2020-03-30,601127,8.0871648000,8.1461952000,7.8707200000,8.0281344000,1514829
2020-03-31,601127,8.1166800000,8.1855488000,7.9002352000,7.9002352000,1515700
2020-04-01,601127,8.0182960000,8.1461952000,7.9100736000,7.9395888000,2212200
2020-04-02,601127,7.8707200000,8.0970032000,7.8707200000,8.0871648000,1837182
2020-04-03,601127,8.6873072000,8.8939136000,8.6873072000,8.8939136000,2273246
2020-04-07,601127,8.8939136000,9.5530864000,8.7561760000,9.1693888000,9747153
2020-04-08,601127,8.9135904000,8.9824592000,8.7168224000,8.7856912000,6473297
2020-04-09,601127,8.7758528000,9.1890656000,8.7266608000,8.9726208000,7040563
