日期,股票代码,开盘,收盘,最高,最低,成交量
2020-01-02,000568,73.1643280000,73.6747768000,71.1905926400,72.6964166000,16734111
2020-01-03,000568,73.1643280000,74.2532854400,72.4752221200,72.9856709200,12465768
2020-01-06,000568,72.3220874800,73.5897020000,71.9647733200,72.8410437600,8720029
2020-01-07,000568,72.2540276400,73.5471646000,72.0583556000,73.1643280000,9184292
2020-01-08,000568,72.5773118800,73.0622382400,71.9392508800,72.1859678000,7214211
2020-01-09,000568,72.6538792000,75.3592578400,71.9732808000,74.4404500000,17676365
2020-01-10,000568,74.4064200800,77.7923971200,74.2703004000,76.9926940000,21465711
2020-01-13,000568,76.9926940000,80.4637458400,76.9076192000,79.1450864400,18976029
2020-01-14,000568,78.6091152000,79.4853856400,77.8434420000,78.3283683600,8973223
2020-01-15,000568,78.3538908000,80.1829990000,78.2688160000,78.5580703200,8907122
2020-01-16,000568,78.4389656000,79.2131462800,78.0986664000,78.8218022000,4994819
2020-01-17,000568,79.1195640000,79.6300128000,77.6988148400,78.0986664000,5357166
2020-01-20,000568,78.0986664000,78.5240404000,76.5673200000,77.0692613200,10856796
2020-01-21,000568,76.5673200000,76.5673200000,73.6492543600,74.2362704800,15672876
2020-01-22,000568,73.0707457200,74.9253763600,72.8325362800,74.4489574800,8619480
2020-01-23,000568,74.3298527600,74.3298527600,69.4040218400,70.3143222000,18786248
2020-02-03,000568,63.2871437200,63.2871437200,63.2871437200,63.2871437200,4440800
2020-02-04,000568,60.4031080000,64.8950574400,59.4502702400,61.3559457600,43100487
2020-02-05,000568,61.2708709600,62.9553520000,60.4626603600,61.5941552000,30688674
2020-02-06,000568,61.5686327600,63.2275913600,61.0922138800,62.8617697200,18376932
2020-02-07,000568,62.5384854800,63.7125177200,61.4665430000,63.6019204800,17671559
2020-02-10,000568,62.9553520000,63.3807260000,61.6962449600,62.7171425600,17208674
2020-02-11,000568,62.9468445200,66.3583440000,62.7426650000,65.8478952000,21626058
2020-02-12,000568,65.8478952000,66.5795384800,64.7674452400,65.9244625200,13689545
2020-02-13,000568,65.5756558400,67.8896904000,65.4225212000,65.9329700000,12912409
2020-02-14,000568,66.1881944000,66.4093888800,65.1843117600,66.1201345600,8064951
2020-02-17,000568,65.6777456000,66.5455085600,65.4055062400,66.5455085600,11316808
2020-02-18,000568,66.6220758800,66.7581955600,65.5586408800,66.1031196000,8625404
2020-02-19,000568,65.8393877200,67.9747652000,65.5246109600,67.2346144400,15259006
2020-02-20,000568,67.1240172000,70.4419344000,67.1240172000,70.4164119600,17795715
2020-02-21,000568,69.7528285200,71.2076076000,69.3784994000,70.3483521200,9530994
2020-02-24,000568,70.1782025200,70.1782025200,68.0598400000,69.0041702800,11973734
2020-02-25,000568,67.4473014400,68.3661092800,66.1881944000,67.6770034000,14748412
2020-02-26,000568,66.4859562000,68.3576018000,66.0180448000,66.7837180000,9747071
2020-02-27,000568,66.8602853200,68.0173026000,66.8602853200,67.2261069600,8134393
2020-02-28,000568,65.8734176400,65.8819251200,63.0744567200,63.6359504000,18180146
2020-03-02,000568,63.5508756000,66.5114786400,63.4658008000,66.2052093600,12266848
2020-03-03,000568,66.6135684000,67.8046156000,66.6135684000,67.2090920000,11582835
2020-03-04,000568,66.8092404400,67.8471530000,66.5199861200,67.1070022400,8122225
2020-03-05,000568,67.6174510400,72.0243256800,67.3707341200,70.9523832000,23267771
2020-03-06,000568,69.8464108000,72.0243256800,69.1317824800,69.2338722400,13730391
2020-03-09,000568,68.0513325200,68.0598400000,66.1031196000,66.1881944000,11568965
2020-03-10,000568,66.1796869200,69.2679021600,65.8478952000,69.0977525600,11413086
2020-03-11,000568,69.7613360000,71.1225328000,69.0637226400,69.3444694800,15241879
2020-03-12,000568,68.4852140000,68.4852140000,66.8858077600,68.2725270000,9107640
2020-03-13,000568,65.4225212000,68.7234234400,64.8695350000,67.1410321600,10726399
2020-03-16,000568,67.5408837200,67.5408837200,62.4278882400,62.9978894000,16372454
2020-03-17,000568,62.5469929600,64.5547582400,59.2120608000,60.9560942000,17335056
2020-03-18,000568,61.1687812000,62.6831126400,59.2205682800,59.3566879600,11627586
2020-03-19,000568,58.7016120000,59.1099710400,55.1965302400,56.5832494800,21292069
2020-03-20,000568,57.3404152000,59.2886281200,57.0001160000,58.4038502000,14614535
2020-03-23,000568,56.3620550000,57.7913116400,56.1238455600,56.6853392400,9490790
2020-03-24,000568,57.9614612400,59.7054946400,57.7828041600,59.6969871600,13797781
2020-03-25,000568,61.7643048000,62.4023658000,61.0837064000,62.0280366800,12701351
2020-03-26,000568,61.5175878800,63.5849055200,60.9816166400,62.0875890400,8624617
2020-03-27,000568,62.8787846800,64.8780424800,62.7937098800,63.3807260000,11730975
2020-03-30,000568,62.1046040000,62.6490827200,61.0837064000,61.1772886800,10235600
2020-03-31,000568,62.0790815600,63.3296811200,61.6877374800,62.6575902000,7910758
2020-04-01,000568,62.6746051600,63.5763980400,61.6877374800,62.8192323200,6979037
2020-04-02,000568,62.1131114800,63.1680390000,61.6792300000,63.1680390000,7791504
2020-04-03,000568,63.1680390000,64.2144590400,62.8277398000,63.2105764000,6515759
2020-04-07,000568,64.4611759600,65.7883428400,64.4611759600,64.8610275200,9742247
2020-04-08,000568,64.2314740000,65.0907294800,63.9762496000,64.7589377600,6048346
2020-04-09,000568,65.5075960000,65.8478952000,64.4441610000,64.9546098000,5608460
2020-04-10,000568,64.6483405200,66.6731207600,64.2825188800,65.3799838000,8810659
2020-04-13,000568,65.0481920800,66.7581955600,64.6568480000,66.4689412400,8348621
2020-04-14,000568,67.0474498800,67.2856593200,66.2307318000,66.6901357200,8480988
2020-04-15,000568,66.9964050000,68.0343175600,66.6646132800,66.8943152400,7704333
2020-04-16,000568,66.4264038400,66.7837180000,65.0226696400,65.6607306400,8279059
2020-04-17,000568,66.2732692000,67.3452116800,65.9244625200,66.6390908400,9211819
2020-04-20,000568,66.9623750800,67.1495396400,65.9329700000,66.4008814000,9030201
2020-04-21,000568,65.9074475600,65.9074475600,62.9723669600,63.5763980400,18723008
2020-04-22,000568,63.2020689200,66.1201345600,62.7937098800,65.7458054400,14521815
2020-04-23,000568,65.8649101600,67.6344660000,65.8649101600,66.1371495200,11053173
2020-04-24,000568,66.4944636800,67.4558089200,65.6777456000,66.2562542400,10494142
2020-04-27,000568,66.3583440000,67.0134199600,65.7458054400,66.4859562000,6184828
2020-04-28,000568,67.2941668000,71.1055178400,66.7071506800,70.1867100000,22674277
2020-04-29,000568,68.9105880000,70.0846202400,66.9538676000,67.2856593200,19125475
2020-04-30,000568,67.3367042000,68.3405868400,66.7837180000,67.3537191600,12166719
2020-05-06,000568,67.1240172000,67.6770034000,66.5114786400,67.2346144400,13513840
2020-05-07,000568,67.5493912000,68.9616328800,66.8517778400,68.3150644000,13661283
2020-05-08,000568,68.5787962800,70.8502934400,67.8981978800,69.4550667200,17433201
2020-05-11,000568,69.9399930800,71.9052209600,69.5486490000,70.4419344000,16281186
2020-05-12,000568,70.1611875600,71.7010414400,70.0165604000,71.5649217600,11402709
2020-05-13,000568,71.5479068000,76.0994086000,71.4628320000,75.4273176800,21101970
2020-05-14,000568,75.1976157200,75.7165720000,73.9895535600,74.6956744000,12572562
2020-05-15,000568,74.3298527600,75.5889598000,73.1473130400,74.4914948800,12514531
2020-05-18,000568,74.4914948800,77.1288136800,74.0320909600,76.1419460000,14443255
2020-05-19,000568,77.0777688000,77.1203062000,75.2061232000,75.8016468000,12246629
2020-05-20,000568,75.8186617600,76.0483637200,74.4404500000,74.7211968400,8743251
2020-05-21,000568,75.0785110000,75.8016468000,74.1001508000,74.5510472400,10029224
2020-05-22,000568,74.5085098400,74.5085098400,71.3607422400,71.5308918400,15070420
2020-05-25,000568,71.5223843600,72.5262670000,70.6035765200,72.1264154400,11850972
2020-05-26,000568,72.3135800000,72.8240288000,71.1225328000,72.6113418000,10181592
2020-05-27,000568,72.6283567600,72.9941784000,71.2926824000,71.5989516800,9360761
2020-05-28,000568,71.4628320000,73.0026858800,70.9949206000,71.4628320000,10356429
2020-05-29,000568,71.4117871200,72.9516410000,70.9353682400,72.5688044000,10280271
2020-06-01,000568,73.0877606800,77.0437388800,72.9091036000,75.9037365600,19428871
2020-06-02,000568,76.4822452000,76.9756790400,74.6105996000,74.9594062800,14156520
2020-06-03,000568,74.9594062800,75.5549298800,73.8364189200,74.4234350400,11673975
2020-06-04,000568,74.8232866000,76.8225444000,74.8147791200,75.7846318400,11935685
2020-06-05,000568,76.5928424400,80.2000139600,75.5974672800,79.6215053200,22100803
2020-06-08,000568,80.3956860000,82.6076308000,79.9788194800,80.8465824400,16911016
2020-06-09,000568,80.8465824400,82.7777804000,80.0809092400,81.4931509200,12271867
2020-06-10,000568,81.5101658800,81.7143454000,80.4892682800,81.6292706000,8899663
2020-06-11,000568,81.6292706000,82.1992717600,79.6895651600,80.7359852000,13144567
2020-06-12,000568,79.1195640000,80.8210600000,78.6941900000,80.8210600000,11237461
2020-06-15,000568,79.5534454800,79.8767297200,76.3886629200,76.8735892800,21658456
2020-06-16,000568,77.3159782400,79.0429966800,76.6949322000,76.9841865200,21207336
2020-06-17,000568,76.9926940000,77.5797101200,75.2911980000,76.2270208000,14118116
2020-06-18,000568,76.1419460000,76.8820967600,75.6314972000,76.4737377200,10198024
2020-06-19,000568,76.6013499200,78.9494144000,76.6013499200,78.1752337200,17514570
2020-06-22,000568,78.3879207200,78.5240404000,76.2270208000,76.9161266800,17722751
2020-06-23,000568,76.8480668400,79.5449380000,76.2270208000,79.3577734400,20411774
2020-06-24,000568,79.3407584800,80.1404616000,77.8434420000,78.6601600800,16271170
2020-06-29,000568,77.6307550000,77.8859794000,76.3971704000,77.3159782400,17522854
2020-06-30,000568,77.5882176000,78.1582187600,77.3159782400,77.5201577600,14172903
2020-07-01,000568,77.9115018400,85.2704720400,77.8434420000,85.2704720400,44045748
2020-07-02,000568,86.3339070400,93.7098922000,85.9255480000,91.5489922800,42630227
2020-07-03,000568,92.7400394800,94.6712374400,89.7964514000,93.6673548000,32762607
2020-07-06,000568,93.6588473200,96.8151224000,92.5613824000,94.8328795600,29037010
2020-07-07,000568,94.2628784000,100.4052789600,92.6209347600,97.7084078000,25357226
