股票代码,股票名称,行业,Alpha,Alpha_p值,Beta,Beta_95CI_low,Beta_95CI_high,R_squared,样本数
600036,招商银行,银行,0.00035649173184025903,0.4629359696748114,1.2043015721219803,1.1267134101974603,1.2818897340465003,0.4165012040283248,1301
601398,工商银行,银行,0.00037320741044243435,0.30240594567647816,0.35409099043310777,0.2962839124967,0.41189806836951554,0.10004289416346246,1301
601127,赛力斯,汽车,0.0011784850260670612,0.20767897172178584,0.5134344008170243,0.35853869410875705,0.6683301075252915,0.0267170600266895,1542
000625,长安汽车,汽车,0.00020047670816385573,0.7750182591088413,0.6223605096849587,0.5061732015443713,0.7385478178255461,0.0668895274973913,1542
600048,保利发展,房地产,-0.00057548072122635,0.28479239051719896,0.5347261992619782,0.44561936345053726,0.623833035073419,0.08254382660618209,1542
001979,招商蛇口,房地产,-0.00047769688903060494,0.3979765227061471,0.5086373984791444,0.41502996828044203,0.6022448286778467,0.06869811253868485,1542
600519,贵州茅台,白酒,0.0004718302203160419,0.2474077228856406,1.1469126030355052,1.0817551064637991,1.2120700996072113,0.47861546825521206,1301
000568,泸州老窖,白酒,5.424864271774052e-05,0.9213074459788766,0.9103570227184041,0.8193913911842368,1.0013226542525715,0.20014268637727928,1542
601012,隆基绿能,能源,1.684470646385825e-05,0.9781259237145685,0.6859901891952415,0.5842229574872025,0.7877574209032804,0.10194822143028481,1542
300274,阳光电源,能源,0.002187008550620881,0.047431946873628984,1.6916063294781973,1.5154796894505598,1.867732969505835,0.21464129578404056,1301
